12.47,0.93754,13.521,4.6089,12.47,-1.4081,-0.023913,-9.8456
12.48,-0.024623,9.5717,9.1344,12.48,-0.83505,-0.0098281,-11.272
12.49,4.2143,7.2869,13.482,12.49,-0.084034,0.01137,-12.175
12.5,4.0323,3.6443,17.043,12.5,1.1902,0.020427,-12.297
12.51,-15.127,-6.5308,19.209,12.51,3.534,-0.012098,-11.569
12.52,-20.596,-9.465,12.664,12.52,6.7505,-0.064437,-9.8304
12.53,-13.05,-5.8024,1.7886,12.53,8.9795,-0.000262,-6.7269
12.54,-10.054,-3.7559,-5.5681,12.54,8.6182,0.22102,-2.2103
12.55,-11.145,-6.4004,-6.9788,12.55,5.9947,0.19507,2.427
12.56,-11.585,-14.847,-1.8233,12.56,1.9496,-0.54684,5.6516
12.57,-10.102,-20.042,3.7604,12.57,-2.2296,-1.7721,7.3371
12.58,-8.0943,-5.2174,-1.5086,12.58,-4.9158,-2.71,8.4386
12.59,-7.8601,22.875,-16.358,12.59,-5.4016,-2.9426,9.5101
12.6,-13.544,4.5638,-11.209,12.6,-5.051,-2.8701,10.148
12.61,-20.426,-55.518,13.284,12.61,-4.864,-2.7698,10.118
12.62,-14.67,-47.939,7.3467,12.62,-4.2156,-2.444,10.066
12.63,-7.1234,-26.033,-0.57898,12.63,-3.3097,-2.0942,10.348
12.64,-2.7123,-16.893,1.792,12.64,-2.2279,-1.6639,10.521
12.65,0.66427,-13.376,6.7625,12.65,-0.87218,-0.81553,9.3696
12.66,4.8435,-8.5181,7.4833,12.66,0.74592,0.6657,6.0481
12.67,8.5812,-4.3782,6.3925,12.67,1.9783,2.2641,1.8877
12.68,9.8336,-5.5916,8.3729,12.68,2.0746,3.2891,-1.1881
12.69,9.0113,-12.065,11.284,12.69,1.4393,3.78,-2.7085
12.7,7.9511,-20.915,8.9053,12.7,1.1485,4.2026,-3.0601
12.71,6.8078,-29.262,-0.027909,12.71,1.5263,4.665,-2.6525
12.72,2.8539,-34.296,-8.2894,12.72,1.6067,4.6599,-1.9155
12.73,-5.5485,-34.203,-10.496,12.73,0.65058,3.796,-1.1513
12.74,-14.562,-31.137,-11.928,12.74,-0.67536,2.3853,-0.14363
12.75,-19.326,-28.064,-19.611,12.75,-1.4221,0.90275,1.4008
12.76,-20.128,-25.301,-26.836,12.76,-1.6761,-0.36851,2.9913
12.77,-21.21,-21.133,-16.377,12.77,-2.3172,-1.2928,3.5372
12.78,-24.631,-14.995,15.53,12.78,-3.429,-1.7417,2.6381
12.79,-27.354,-9.0108,42.024,12.79,-3.2729,-1.595,1.4684
12.8,-26.283,-5.2559,37.128,12.8,-0.31579,-0.79956,1.2482
12.81,-22.991,-2.761,12.041,12.81,3.6345,0.20809,1.959
12.82,-21.049,0.71335,-6.149,12.82,5.3874,0.78896,3.0367
12.83,-21.911,5.2521,-8.1504,12.83,4.3822,0.69508,4.1294
12.84,-24.901,8.7792,-2.5422,12.84,2.6944,0.070556,5.0998
12.85,-28.908,10.068,3.3392,12.85,1.9023,-0.89866,5.8714
12.86,-31.816,10.694,8.1597,12.86,1.7655,-1.9529,6.52
12.87,-31.457,12.458,11.644,12.87,1.7564,-3.1528,7.1406
12.88,-27.09,14.155,12.998,12.88,1.8533,-8.006,7.7323
12.89,-18.879,12.9,11.165,12.89,2.3185,-21.814,8.2338
12.9,-9.5594,9.4749,6.8245,12.9,2.8677,-40.564,8.4189
12.91,-5.1933,9.4531,2.9137,12.91,2.501,-48.115,7.8484
12.92,-8.127,14.756,1.2003,12.92,0.69708,-34.598,6.3867
12.93,-4.9559,11.414,-1.8324,12.93,-0.96114,-18.483,5.1688
12.94,9.1378,-4.7495,-7.3351,12.94,-0.92549,-15.519,4.7278
12.95,7.5505,-3.6526,-7.2031,12.95,-0.17571,-8.8637,3.2537
12.96,1.8891,2.439,-4.5815,12.96,0.71064,-2.2764,1.7007
12.97,1.6186,2.7544,-3.0693,12.97,1.535,0.67014,0.77163
12.98,3.3834,-1.2719,-4.9095,12.98,2.7015,2.2818,0.022032
12.99,2.7834,-6.8358,-11.211,12.99,4.5266,5.293,-1.0223
13.0,0.52191,-13.217,-16.053,13.0,6.0754,9.7286,-1.9071
13.01,-0.50394,-20.576,-10.846,13.01,5.9217,14.415,-1.801
13.02,0.46638,-27.832,1.9922,13.02,4.2314,18.563,-0.76881
13.03,2.0487,-32.668,9.0523,13.03,2.7621,21.77,0.22813
13.04,3.3328,-33.838,3.6328,13.04,2.5791,23.665,0.6172
13.05,4.674,-32.609,-4.933,13.05,3.0499,23.918,0.77989
13.06,6.5269,-30.473,-6.2128,13.06,3.3717,22.281,1.1569
13.07,8.6022,-27.718,-0.82823,13.07,3.3582,19.356,1.4675
13.08,10.17,-23.939,4.1888,13.08,3.1855,16.232,1.0217
13.09,10.415,-19.392,6.0315,13.09,2.9817,13.488,-0.24596
13.1,8.4243,-15.203,7.4918,13.1,2.8058,11.038,-1.5823
13.11,4.2284,-12.095,10.499,13.11,2.7038,8.8016,-2.3401
13.12,1.6695,-8.937,12.035,13.12,2.6868,6.9074,-2.515
